City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiznit,MA,2022-04-16 23:49:35,29.5833,-9.5,74.97,23,45,3.67
1,Seymchan,RU,2022-04-16 23:49:35,62.8833,152.4333,17.4,82,90,4.0
2,Ushuaia,AR,2022-04-16 23:42:52,-54.8,-68.3,38.86,81,0,6.91
3,San Patricio,US,2022-04-16 23:47:25,28.017,-97.5169,87.89,70,94,13.44
4,Panzhihua,CN,2022-04-16 23:49:36,26.5851,101.7128,68.04,52,81,1.92
5,Barrow,US,2022-04-16 23:47:13,71.2906,-156.7887,6.82,78,0,19.57
6,Hualmay,PE,2022-04-16 23:49:36,-11.0964,-77.6139,67.06,83,93,10.71
7,Isangel,VU,2022-04-16 23:48:19,-19.55,169.2667,84.51,69,13,6.15
8,Mataura,NZ,2022-04-16 23:46:21,-46.1927,168.8643,53.47,54,70,5.01
9,Norman Wells,CA,2022-04-16 23:45:57,65.282,-126.8329,17.64,35,20,3.44
10,Bredasdorp,ZA,2022-04-16 23:47:06,-34.5322,20.0403,56.05,82,0,6.82
11,Albany,US,2022-04-16 23:41:25,42.6001,-73.9662,39.92,90,100,3.4
12,Rikitea,PF,2022-04-16 23:45:54,-23.1203,-134.9692,78.75,69,9,13.78
13,Husavik,IS,2022-04-16 23:49:37,66.0449,-17.3389,42.31,86,100,11.95
14,Bam,IR,2022-04-16 23:49:37,29.106,58.357,79.36,22,99,7.58
15,Tuktoyaktuk,CA,2022-04-16 23:49:38,69.4541,-133.0374,1.4,71,75,6.91
16,Pisco,PE,2022-04-16 23:49:38,-13.7,-76.2167,65.01,82,0,19.57
17,Avarua,CK,2022-04-16 23:46:09,-21.2078,-159.775,82.45,78,75,9.22
18,Souillac,MU,2022-04-16 23:49:39,-20.5167,57.5167,77.38,88,40,10.36
19,Koster,ZA,2022-04-16 23:49:39,-25.863,26.8976,52.11,94,98,11.83
20,Aklavik,CA,2022-04-16 23:49:39,68.2191,-135.0107,19.4,42,0,9.22
21,Esna,EG,2022-04-16 23:49:40,25.2934,32.554,82.42,13,1,4.5
22,Tasiilaq,GL,2022-04-16 23:48:31,65.6145,-37.6368,35.76,97,100,10.76
23,Kamen-Rybolov,RU,2022-04-16 23:49:40,44.7481,132.0403,46.13,33,8,7.31
24,Dembi Dolo,ET,2022-04-16 23:49:40,8.5333,34.8,59.2,95,100,5.03
25,Patacamaya,BO,2022-04-16 23:49:41,-17.2333,-67.9167,48.96,31,13,7.83
26,Castro,BR,2022-04-16 23:47:22,-24.7911,-50.0119,52.32,88,0,4.43
27,Hermanus,ZA,2022-04-16 23:45:58,-34.4187,19.2345,57.79,79,3,15.35
28,Saldanha,ZA,2022-04-16 23:46:57,-33.0117,17.9442,59.05,64,0,11.43
29,Hilo,US,2022-04-16 23:46:15,19.7297,-155.09,74.28,90,100,5.75
30,Clyde River,CA,2022-04-16 23:48:31,70.4692,-68.5914,-12.77,84,75,5.75
31,Atuona,PF,2022-04-16 23:47:09,-9.8,-139.0333,79.56,78,30,16.55
32,Khatanga,RU,2022-04-16 23:48:34,71.9667,102.5,18.19,96,98,6.38
33,Key Largo,US,2022-04-16 23:48:45,25.0865,-80.4473,80.6,80,3,9.24
34,Siniscola,IT,2022-04-16 23:49:42,40.5719,9.6922,58.55,71,27,9.82
35,New Norfolk,AU,2022-04-16 23:49:42,-42.7826,147.0587,66.92,62,100,4.72
36,Finnsnes,NO,2022-04-16 23:49:43,69.2296,17.9811,38.01,99,100,5.79
37,Longyearbyen,SJ,2022-04-16 23:49:43,78.2186,15.6401,22.84,68,75,8.05
38,Saskylakh,RU,2022-04-16 23:47:23,71.9167,114.0833,16.14,93,99,17.83
39,Sibolga,ID,2022-04-16 23:49:43,1.7427,98.7792,78.04,84,38,2.77
40,Pangnirtung,CA,2022-04-16 23:49:44,66.1451,-65.7125,-0.18,94,94,5.59
41,Manacapuru,BR,2022-04-16 23:49:44,-3.2997,-60.6206,76.71,89,83,1.57
42,Esperance,AU,2022-04-16 23:48:27,-33.8667,121.9,58.84,70,77,14.54
43,Tibati,CM,2022-04-16 23:49:44,6.4667,12.6333,72.43,72,70,0.58
44,Harnosand,SE,2022-04-16 23:49:45,62.6323,17.9379,35.6,90,59,7.45
45,Cape Town,ZA,2022-04-16 23:43:30,-33.9258,18.4232,60.91,69,0,13.0
46,Sept-Iles,CA,2022-04-16 23:49:45,50.2001,-66.3821,37.92,65,20,10.36
47,Alofi,NU,2022-04-16 23:49:46,-19.0595,-169.9187,85.89,70,21,8.05
48,Kodiak,US,2022-04-16 23:46:09,57.79,-152.4072,40.51,75,100,14.97
49,Labuhan,ID,2022-04-16 23:50:46,-6.8844,112.2051,80.4,84,83,4.79
50,Port Alfred,ZA,2022-04-16 23:46:04,-33.5906,26.891,61.18,92,100,11.56
51,Kununurra,AU,2022-04-16 23:47:04,-15.7667,128.7333,84.18,74,38,2.3
52,Berbera,SO,2022-04-16 23:50:47,10.4396,45.0143,81.37,81,63,3.76
53,Karratha,AU,2022-04-16 23:47:25,-20.7377,116.8463,86.11,42,27,3.76
54,Namatanai,PG,2022-04-16 23:50:47,-3.6667,152.4333,84.33,70,97,5.75
55,Ondo,NG,2022-04-16 23:50:48,7.1,4.8333,73.18,96,71,2.15
56,Tual,ID,2022-04-16 23:50:34,-5.6667,132.75,83.82,71,100,4.0
57,Lebu,CL,2022-04-16 23:50:48,-37.6167,-73.65,53.4,92,27,10.09
58,Bluff,NZ,2022-04-16 23:46:23,-46.6,168.3333,53.8,61,88,6.55
59,Cidreira,BR,2022-04-16 23:46:24,-30.1811,-50.2056,65.68,75,100,7.45
60,Geraldton,AU,2022-04-16 23:46:29,-28.7667,114.6,66.61,77,40,10.36
61,Port Moresby,PG,2022-04-16 23:50:49,-9.4431,147.1797,83.62,65,40,5.75
62,Bereda,ES,2022-04-16 23:50:49,43.2686,-7.5406,53.42,100,50,2.26
63,Kuryk,KZ,2022-04-16 23:50:49,43.2,51.65,57.0,52,66,9.64
64,Stabat,ID,2022-04-16 23:50:50,3.761,98.4513,77.2,97,100,2.39
65,Quatre Cocos,MU,2022-04-16 23:50:50,-20.2078,57.7625,77.11,84,53,13.18
66,Abu Dhabi,AE,2022-04-16 23:48:01,24.4667,54.3667,86.02,54,0,4.61
67,Pemba,MZ,2022-04-16 23:50:50,-12.974,40.5178,79.5,89,40,6.91
68,Fortuna,US,2022-04-16 23:50:51,40.5982,-124.1573,54.93,61,40,10.36
69,Butaritari,KI,2022-04-16 23:47:10,3.0707,172.7902,81.77,76,24,12.86
70,Saint-Pierre,RE,2022-04-16 23:50:51,-21.3393,55.4781,76.68,74,0,13.8
71,Korla,CN,2022-04-16 23:50:51,41.7597,86.1469,47.98,15,0,2.71
72,Grindavik,IS,2022-04-16 23:50:52,63.8424,-22.4338,46.35,100,75,13.8
73,Ulaanbaatar,MN,2022-04-16 23:50:35,47.9077,106.8832,21.33,79,0,2.24
74,Chuy,UY,2022-04-16 23:47:07,-33.6971,-53.4616,59.61,82,38,6.58
75,Busselton,AU,2022-04-16 23:45:51,-33.65,115.3333,59.2,64,22,9.17
76,Avera,US,2022-04-16 23:50:53,33.194,-82.5271,67.51,90,100,1.1
77,Saint Anthony,US,2022-04-16 23:50:53,45.0205,-93.218,40.93,36,0,17.27
78,Georgetown,MY,2022-04-16 23:50:51,5.4112,100.3354,78.75,94,20,2.3
79,Coquimbo,CL,2022-04-16 23:46:29,-29.9533,-71.3436,56.93,94,75,8.05
80,Hasaki,JP,2022-04-16 23:50:53,35.7333,140.8333,55.8,54,88,8.37
81,Punta Arenas,CL,2022-04-16 23:45:14,-53.15,-70.9167,46.51,81,40,10.36
82,Talnakh,RU,2022-04-16 23:48:32,69.4865,88.3972,15.42,94,100,13.18
83,Gushi,CN,2022-04-16 23:50:54,34.6425,109.5843,51.6,61,100,7.92
84,Nara,JP,2022-04-16 23:50:54,34.6851,135.8049,55.96,42,88,3.47
85,Lavrentiya,RU,2022-04-16 23:50:55,65.5833,-171.0,30.45,94,99,10.09
86,Ostersund,SE,2022-04-16 23:50:55,63.1792,14.6357,37.85,75,81,5.75
87,Kapaa,US,2022-04-16 23:46:06,22.0752,-159.319,82.38,85,75,24.16
88,Ribeira Grande,PT,2022-04-16 23:46:02,38.5167,-28.7,59.92,76,20,16.2
89,Luderitz,NA,2022-04-16 23:50:56,-26.6481,15.1594,62.17,61,0,11.99
90,Alta Floresta,BR,2022-04-16 23:50:56,-9.8756,-56.0861,73.42,96,90,1.36
91,Cabo San Lucas,MX,2022-04-16 23:45:49,22.8909,-109.9124,88.61,16,75,11.5
