City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
3,Morondava,MG,77.59,clear sky,-20.2833,44.2833,La Case Bambou
7,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
8,Cuamba,MZ,65.39,few clouds,-14.8031,36.5372,Hotel Vision
9,Hilo,US,73.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Port Macquarie,AU,68.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
13,Canberra,AU,72.55,clear sky,-35.2835,149.1281,Novotel Canberra
16,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Puerto Ayora,EC,75.38,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Hirara,JP,70.7,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
22,Coahuayana,MX,72.1,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
24,Havelock,US,67.98,broken clouds,34.8791,-76.9013,Sherwood Motel
25,Kapaa,US,76.98,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Pundaguitan,PH,82.06,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
27,Kalmunai,LK,83.19,scattered clouds,7.4167,81.8167,VS Villa
32,Tulum,MX,77.58,clear sky,20.2167,-87.4667,Kin Ha Tulum
33,Posse,BR,69.37,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
35,Saquena,PE,73.58,overcast clouds,-4.6667,-73.5167,
37,Sao Felix Do Xingu,BR,71.71,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
38,Atuona,PF,78.8,light rain,-9.8,-139.0333,Villa Enata
39,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
40,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
42,Rikitea,PF,78.73,scattered clouds,-23.1203,-134.9692,People ThankYou
43,Pedernales,DO,78.13,overcast clouds,18.0384,-71.744,Hotel Costa Marina
50,Kahului,US,80.62,broken clouds,20.8947,-156.47,Maui Seaside Hotel
51,Arraial Do Cabo,BR,72.01,clear sky,-22.9661,-42.0278,Pousada Porto Praia
54,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
62,Bengkulu,ID,85.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,New Norfolk,AU,76.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
64,Bundaberg,AU,80.89,scattered clouds,-24.85,152.35,Takalvan Motel
68,Letpadan,MM,91.83,few clouds,17.7833,95.75,AUNG MYO KYAW
70,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
74,Hobart,AU,77.02,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
80,Cidreira,BR,66.63,overcast clouds,-30.1811,-50.2056,Hotel Castelo
84,San Patricio,US,76.17,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
85,Gamba,GA,76.03,broken clouds,-2.65,10.0,
86,Busselton,AU,65.03,scattered clouds,-33.65,115.3333,Observatory Guest House
87,Monkey Bay,MW,73.8,light rain,-14.0728,34.9201,Monkey Bay Beach Lodge
90,Hervey Bay,AU,77.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
92,Angoche,MZ,77.92,light rain,-16.2325,39.9086,Guest House HESADA
93,Lianran,CN,74.68,clear sky,24.9227,102.485,半岛酒店
95,Cabo San Lucas,MX,78.1,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
97,Huarmey,PE,67.28,overcast clouds,-10.0681,-78.1522,Hotel Miramar
99,Balabac,PH,84.24,broken clouds,7.9868,117.0645,Batalla’s Lodging House
100,Beloha,MG,71.89,broken clouds,-25.1667,45.05,
101,Tiznit,MA,73.56,scattered clouds,29.5833,-9.5,
102,Sao Filipe,CV,70.7,scattered clouds,14.8961,-24.4956,Hotel Xaguate
106,Lazaro Cardenas,MX,73.9,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
107,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
108,Lampazos De Naranjo,MX,86.38,overcast clouds,27.0167,-100.5167,Bella Vista
109,Kushima,JP,68.68,clear sky,31.4583,131.2333,Hanaoka
115,Basco,PH,76.73,broken clouds,20.4487,121.9702,Nathaniel's Lodge
116,Cockburn Town,TC,77.54,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
117,Mackay,AU,83.68,clear sky,-21.15,149.2,International Lodge Motel
119,Honiara,SB,85.12,overcast clouds,-9.4333,159.95,Heritage Park Hotel
120,Umm Lajj,SA,79.88,clear sky,25.0213,37.2685,Moon light Furnished Units
121,Samarai,PG,84.07,light rain,-10.6167,150.6667,Nuli Sapi
123,Kudahuvadhoo,MV,83.86,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
126,Bhubaneswar,IN,82.62,haze,20.2333,85.8333,Hotel Pushpak
127,Razole,IN,89.87,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
129,Sola,VU,90.27,scattered clouds,-13.8833,167.55,Leumerus Bungalows
130,Obo,CF,68.0,overcast clouds,5.3998,26.4869,
133,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
134,Touros,BR,78.89,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
136,Butaritari,KI,82.06,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
137,Carnarvon,AU,78.87,light rain,-24.8667,113.6333,Hospitality Carnarvon
138,Andijon,UZ,70.88,overcast clouds,40.7821,72.3442,"Hotel ""Bog'ishamol"""
141,Hualmay,PE,66.51,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
146,Meulaboh,ID,84.45,scattered clouds,4.1363,96.1285,Kost Pria
148,Bathsheba,BB,78.15,scattered clouds,13.2167,-59.5167,Atlantis Hotel
149,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
150,Tecolutla,MX,77.38,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
151,Mount Gambier,AU,72.28,overcast clouds,-37.8333,140.7667,The Commodore
153,Tautira,PF,79.59,light rain,-17.7333,-149.15,Pension Oaoa
154,Soyo,AO,77.13,broken clouds,-6.1349,12.3689,Hotel Mpampa
155,Cilegon,ID,85.48,broken clouds,-6.0174,106.0538,Forbis Hotel
156,Marawi,PH,81.01,overcast clouds,7.9986,124.2928,Derogongan Residence
160,Kangar,MY,85.26,overcast clouds,6.4414,100.1986,Hotel Seri Malaysia Kangar Perlis
161,Aitape,PG,86.22,scattered clouds,-3.1374,142.3475,
164,Mount Isa,AU,91.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
165,Palm Bay,US,77.07,clear sky,28.0345,-80.5887,Port d'Hiver Bed and Breakfast
166,Sechura,PE,68.52,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
168,Gizo,SB,81.81,light rain,-8.103,156.8419,Imagination Island
170,Vanimo,PG,86.68,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
171,Alamogordo,US,71.01,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
175,San Policarpo,PH,82.69,broken clouds,12.1791,125.5072,Agapita M. Nicart
176,Ibadan,NG,74.3,light rain,7.3878,3.8964,Orchard Hotel
178,Loubomo,CG,70.97,scattered clouds,-4.1997,12.6739,La Dolisienne
181,Estelle,US,77.0,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
191,Kavieng,PG,84.85,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
192,Kiunga,PG,87.66,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
193,Hithadhoo,MV,83.53,overcast clouds,-0.6,73.0833,Scoop Guest House
195,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
196,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
198,Neiafu,TO,84.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
202,Eyl,SO,80.01,broken clouds,7.9803,49.8164,Amiin Hotel
203,Atambua,ID,83.97,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
206,Saint George,US,70.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
209,Ejura,GH,76.17,overcast clouds,7.3856,-1.3562,Fire Servece
218,Adrar,MR,74.86,clear sky,20.5022,-10.0711,
219,Karera,IN,92.95,clear sky,25.4667,78.15,श्री हिमांशु जोशी (निवास)
221,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
227,Sur,OM,89.22,few clouds,22.5667,59.5289,Sur Plaza Hotel
228,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
230,Ponta Do Sol,PT,68.63,overcast clouds,32.6667,-17.1,Hotel do Campo
236,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
240,Kasongo-Lunda,CD,69.66,light rain,-6.4667,16.8167,
245,Champerico,GT,84.02,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
250,Dakar,SN,67.08,scattered clouds,14.6937,-17.4441,Novotel Dakar
252,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
254,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
259,Yola,NG,87.08,broken clouds,9.2,12.4833,Muna Hotel
265,Bakel,SN,86.63,few clouds,14.905,-12.4568,Ablaye Diallo Bakel
266,Ahuimanu,US,80.31,shower rain,21.4447,-157.8378,Paradise Bay Resort
267,Luangwa,ZM,74.98,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
268,Victoria,HK,74.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
271,Berbera,SO,81.07,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
273,Benicarlo,ES,65.55,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
274,Taoudenni,ML,72.57,clear sky,22.6783,-3.9836,
277,Lorengau,PG,83.91,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
278,Namibe,AO,72.61,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
281,Itoman,JP,71.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
282,Yarada,IN,89.92,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
287,Bhandaria,BD,91.04,scattered clouds,22.4861,90.0609,Syfur Rahman
293,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
294,Hobyo,SO,82.49,few clouds,5.3505,48.5268,Iftin hotel hobyo
297,Guntakal,IN,87.08,broken clouds,15.1667,77.3833,Vasavi Pipes Office
300,Jutai,BR,73.42,broken clouds,-5.1833,-68.9,
301,Airai,TL,74.5,scattered clouds,-8.9266,125.4092,
302,Poya,NC,81.73,clear sky,-21.35,165.15,
304,Ishigaki,JP,73.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
305,Mangan,IN,79.21,clear sky,27.5167,88.5333,Hotel Mout View
308,Kulhudhuffushi,MV,83.12,scattered clouds,6.6221,73.07,Haajy Guest House 1
310,Manta,EC,74.98,few clouds,-0.95,-80.7333,Balandra Hotel
314,Buraydah,SA,66.65,clear sky,26.326,43.975,Mövenpick Qassim
315,Alice Springs,AU,92.75,few clouds,-23.7,133.8833,Desert Palms Alice Springs
317,Conakry,GN,76.59,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
318,Vila Do Maio,CV,70.59,broken clouds,15.1333,-23.2167,Hotel Marilu
319,Sibu,MY,86.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
321,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
323,Agboville,CI,73.06,overcast clouds,5.928,-4.2132,hotel LE PRESTIGE
326,Qui Nhon,VN,81.03,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
328,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
333,Cathedral City,US,75.52,clear sky,33.7797,-116.4653,Desert Oasis
335,Yaan,NG,78.12,overcast clouds,7.3833,8.5667,
339,Khammam,IN,88.92,overcast clouds,17.25,80.15,Hotel Vishnu Residency
340,Vavatenina,MG,70.48,broken clouds,-17.4667,49.2,FARA Jean E. et TOMBO Berthine
342,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
343,Mendi,PG,71.82,overcast clouds,-6.1761,143.6513,Kiburu Lodge
344,Iquitos,PE,77.04,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
346,Ciudad Bolivar,VE,81.25,few clouds,8.1222,-63.5497,Hotel Edi
349,Sao Jose Da Coroa Grande,BR,78.3,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
350,Frei Paulo,BR,72.12,scattered clouds,-10.5494,-37.5344,Restaurante e Pousada Nossa Senhora De Fátima
351,Okato,NZ,70.92,broken clouds,-39.2,173.8833,Stony River House
352,Fomboni,KM,83.73,light rain,-12.28,43.7425,Auberge les abou
357,Blythe,US,81.05,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
358,Tura,IN,79.99,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
359,Axim,GH,75.33,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
361,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
362,Jieshi,CN,67.68,overcast clouds,22.8134,115.8257,Yuehai Hotel
364,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
366,Barranca De Upia,CO,73.44,broken clouds,4.5696,-72.9668,HOTEL GUAICARAMO
367,Mbekenyera,TZ,68.81,light rain,-10.0,38.9833,
369,Asyut,EG,78.57,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
371,Kupang,ID,86.4,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
372,Prainha,BR,75.24,overcast clouds,-1.8,-53.48,Casa Rocha
373,Manubul,PH,82.6,scattered clouds,5.4732,120.7986,
380,Belmonte,BR,76.42,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
384,Malakal,SS,78.78,overcast clouds,9.5334,31.6605,Nile Palace Hotel
387,Faanui,PF,81.84,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
388,Berberati,CF,71.15,broken clouds,4.2612,15.7922,MAIRIE DE BERBERATI
389,Phu Ly,VN,65.57,overcast clouds,20.5411,105.9139,5 Star Apartment Central Phu Ly
391,Madang,PG,85.96,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
396,Acarau,BR,78.01,moderate rain,-2.8856,-40.12,castelo pizzaria
398,Tanabe,JP,67.21,few clouds,33.7333,135.3667,美吉屋旅館
399,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
400,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
401,Auki,SB,84.74,overcast clouds,-8.7676,160.7034,Auki Motel
403,Dire Dawa,ET,74.08,broken clouds,9.5931,41.8661,Samrat Hotel
405,Tuensang,IN,81.0,clear sky,26.2833,94.8333,B.W.D Resthouse.
407,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
408,Saquarema,BR,68.47,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
409,Tchibanga,GA,72.03,light rain,-2.85,11.0333,
412,Palizada,MX,79.54,clear sky,18.25,-92.0833,Hotel San Joaquín Palizada
415,Umm Kaddadah,SD,76.35,few clouds,13.6017,26.6876,
419,Saint-Joseph,RE,72.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
421,Puerto Carreno,CO,80.13,moderate rain,6.189,-67.4859,Casa Hotel Victoria
422,Mersing,MY,82.31,light rain,2.4312,103.8405,Timotel Hotel
423,Bahia De Caraquez,EC,75.38,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
424,Bouca,CF,74.89,clear sky,6.5105,18.2733,
426,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
428,Savannah Bight,HN,80.91,clear sky,16.45,-85.85,Villa on Dunbar Rock
429,Bryan,US,76.89,overcast clouds,30.6744,-96.37,Best Western Premier Bryan College Station
432,Thinadhoo,MV,83.46,overcast clouds,0.5333,72.9333,
433,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
434,Inhambane,MZ,72.68,moderate rain,-23.865,35.3833,Oceano
440,Vidalia,US,67.95,broken clouds,32.2177,-82.4135,Quality Inn & Suites
442,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
444,Pontianak,ID,87.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
447,Sulangan,PH,82.31,broken clouds,11.1373,123.7228,Maia's Beach Resort
